letter_id,n_footnote,generated_footnote,xml_footnote,bleu_with,rouge_with,bleu_without,rouge_without,bert_with,bert_without
10327,2,"Mit ""nuperis literis"" bezieht sich Bullinger auf vorherige Korrespondenz, in der er Myconius vermutlich über die politischen Spannungen und religiösen Konflikte im Umfeld von Zürich und Basel informierte. Dies könnte insbesondere die Reaktionen auf die Wahl von Andreas Faber und die damit verbundenen kirchlichen und politischen Herausforderungen betreffen. Solche Briefe wären charakteristisch für den Austausch von Informationen und Sorgen zwischen reformatorischen Anführern.","Oben <ref target=""file10324"">Nr. 293</ref>.",0.0,0.0,0.0,0.0,0.5387657284736633,0.5695120692253113
10327,5,"Der Ausdruck ""Cerberus"" wird oft verwendet, um auf eine bedrohliche oder hinderliche Figur hinzuweisen, die den Zugang zu wichtigen Entscheidungen oder Machtpositionen kontrolliert. In diesem Kontext bezieht sich Bullinger wahrscheinlich auf eine Person oder Fraktion, die aus seiner Sicht unliebsame oder unqualifizierte Menschen eher in den Rat beruft, was seiner Meinung nach den Interessen der Reformierten entgegensteht. Der Vergleich mit ""dem Rüden"" spielt auf den griechischen mythologischen dreiköpfigen Wachhund an, der den Eingang zur Unterwelt bewacht.","Die Gesellschaft zu Konstaffel, nach ihrem Zunfthaus auch «zum Rüden» genannt. Sie stellte zahlenmäßig mehr Reformationsgegner als irgendeine Zunft, ohne daß diese jedoch eine Mehrheit in ihren Reihen hätten bilden können, s. <hi>Jacob</hi> 64-66. 108f. 115.",0.0,0.11570247933884296,0.0,0.11764705882352942,0.6096460223197937,0.61550372838974
10650,2,"Otto Werdmüller spricht hier von seinen Mitbewohnern, mit denen er in Straßburg zusammenlebte. Wahrscheinlich handelte es sich dabei um eine Gruppe von Studenten oder Gelehrten, die unter einem Dach wohnten, wie es damals häufig im Zusammenhang mit Universitäten und Ausbildungsstätten der Fall war. Weitere Details zu diesen Konvikten sind nicht überliefert, aber es war üblich, dass solche Gemeinschaften das tägliche Leben und Lernen teilten.","Wer noch, außer <persName ref=""p5618"" cert=""high"">Heinrich Lavater</persName> und <persName ref=""p8459"" cert=""high"">Otto Werdmüller</persName>, als Kostgänger bei <persName ref=""p315"" cert=""high"">Jakob Bedrot</persName> wohnte, ist nicht bekannt.",0.0,0.11111111111111112,0.0,0.13333333333333333,0.5614470839500427,0.6611158847808838
10650,3,"Das erwähnte ""Flumen prope urbem"" bezieht sich auf den Rhein, der durch Straßburg fließt. Der Rhein war für die Stadt von großer Bedeutung, wurde jedoch zur damaligen Zeit häufig als Badeort genutzt, was angesichts der mitunter starken Strömungen nicht ungefährlich war.","die <placeName ref=""l1456"" cert=""high"">Ill</placeName>, ein Nebenfluß des <placeName ref=""l11"" cert=""high"">Rheins</placeName>.",0.0,0.029850746268656716,0.0,0.03636363636363636,0.5440828800201416,0.6192890405654907
10650,6,"Die „sodales“ beziehen sich auf die Mitglieder des akademischen Kollegiums in Straßburg, zu dem Werdmüller zu seiner Studienzeit gehörte. Diese Gemeinschaft von Studenten war sowohl für den akademischen Austausch als auch für die persönliche Unterstützung untereinander wichtig.","Im ""Collegium praedicatorum"" waren neben den <placeName ref=""l492"" cert=""high"">Straßburger</placeName> Stipendiaten noch acht schwäbische Studenten der Bufflerschen Schulstiftung untergebracht (vgl. <hi>Ficker,</hi> Erste Lehr- und Lernbücher, aaO, S. 9-13, und <bibl>BucerDS</bibl> VII 537).",0.0,0.0689655172413793,0.0,0.07792207792207792,0.5956099033355713,0.6337786316871643
10650,7,"Der erwähnte „d. Bedrotus“ könnte sich auf den in Straßburg tätigen Theologen und Reformator Martin Bucer beziehen, der in der zeitgenössischen Korrespondenz verschiedentlich mit der Latinisierung seines Namens (Bucerus) auch als ""Bedroti"" bezeichnet wurde. Da Bucer eine prägende Rolle im reformatorischen Gedankenaustausch in Straßburg innehatte, dürfte er einer der Empfänger oder Vermittler der Berichte gewesen sein, die an Bullinger gesandt wurden. Weitere Informationen zu seiner Beteiligung finden sich in seiner umfangreichen Korrespondenz und den historiographischen Darstellungen seiner Tätigkeit in Straßburg.","Unten <ref target=""file10651"">Nr. 613</ref>.",0.0,0.0,0.0,0.0,0.5287671685218811,0.5550587177276611
11507,10,"Diese Anspielung auf den Propheten Elias (oder Elija) stammt aus der biblischen Erzählung im 2. Buch der Könige (2 Kön 2,11), wo berichtet wird, dass Elias in einem feurigen Wagen in den Himmel auffuhr. Elias ist bekannt für seine standhafte Verteidigung des Glaubens an den einzig wahren Gott und seine Ablehnung jeglicher Verehrung von falschen Göttern, was in der berühmten Herausforderung an die Propheten Baals gipfelt (1 Könige 18,21-40).","Vgl. <cit type=""bible""><ref>2Kön 2, 11f</ref></cit>.",0.0,0.044444444444444446,0.0,0.047619047619047616,0.5661044716835022,0.6151785254478455
11507,11,"1. Regum 18:21. Diese Bibelstelle beschreibt den Prophet Elija, der das Volk Israel fragt, wie lange sie auf zwei Seiten hinken wollen, in ihrer Entscheidung zwischen dem wahren Gott und dem Baal-Kult.","<cit type=""bible""><ref>1Kön 18, 21</ref></cit>.",0.0,0.0909090909090909,0.0,0.10526315789473684,0.5597825050354004,0.6218062043190002
11507,12,"<source>Zephaniah 1:5</source>, eine prophetische Schrift, die vor dem Götzendienst und der Vermischung von Kulten warnt. Sie thematisiert den Zorn Gottes über diejenigen, die gleichzeitig bei Gott und bei den falschen Göttern schwören, hier in der spezifischen Erwähnung von ""Melchom"" oder ""Molech"", was die hybride Religionsausübung kritisiert.","Zeph 1, 4f.",0.0,0.03508771929824561,0.0,0.03636363636363637,0.5951191186904907,0.6050679683685303
11507,13,"Vgl. <ref target=""#Heb_10.14"">Hebräer 10, 14</ref>: „Denn mit einem einzigen Opfer hat er die, die geheiligt werden, für immer vollkommen gemacht.“ Diese Schriftstelle wird oft in der reformatorischen Theologie herangezogen, um die Einmaligkeit und Vollkommenheit des Opfers Christi im Gegensatz zu den wiederholten messopferlichen Handlungen der katholischen Kirche zu betonen.","Die reformatorische Betonung der Einmaligkeit des Opfers Christi stützt sich insbesondere auf <cit type=""bible""><ref>Hebr 7, 27</ref></cit>; <cit type=""bible""><ref>9, 24-28.</ref></cit>",0.06660772083504331,0.20689655172413793,0.0,0.20289855072463772,0.7081781625747681,0.730182409286499
